,Kode,Nama,Sektor,Pembukaan,Tertinggi,Terendah,Penutupan,%,Volume (Lembar),Nilai Transaksi (Idr),Best Bid Price,Best Offer Price,Net Foreign (Buy/Sell)
,AALI,Astra Agro Lestari Tbk.,AGRI,14.575,14.575,14.575,14.575,"0,00",0,0,14.550,14.575,0
,ABBA,Mahaka Media Tbk.,TRADE,106,106,106,106,"0,00",0,0,105,106,0
,ABDA,Asuransi Bina Dana Arta Tbk.,FINANCE,6.975,6.975,6.975,6.975,"0,00",0,0,5.600,7.000,0
,ABMM,ABM Investama Tbk.,TRADE,1.530,1.530,1.530,1.530,"0,00",0,0,1.215,1.450,0
,ACES,Ace Hardware Indonesia Tbk.,TRADE,1.495,1.495,1.495,1.495,"0,00",0,0,1.490,1.495,0
,ACST,Acset Indonusa Tbk.,PROPERTY,970,970,970,970,"0,00",0,0,970,1.030,0
,ADES,Akasha Wira International Tbk.,CONSUMER,1.045,1.045,1.045,1.045,"0,00",0,0,1.025,1.045,0
,ADHI,Adhi Karya (Persero) Tbk.,PROPERTY,1.175,1.175,1.175,1.175,"0,00",0,0,1.175,1.180,0
,ADMF,Adira Dinamika Multi Finance Tbk.,FINANCE,10.400,10.400,10.400,10.400,"0,00",0,0,10.375,10.400,0
,ADMG,Polychem Indonesia Tbk,BASIC-IND,186,186,186,186,"0,00",0,0,186,188,0
,ADRO,Adaro Energy Tbk.,MINING,1.555,1.555,1.555,1.555,"0,00",0,0,1.550,1.555,0
,AGAR,Asia Sejahtera Mina Tbk.,TRADE,396,396,396,396,"0,00",0,0,394,396,0
,AGII,Aneka Gas Industri Tbk.,BASIC-IND,695,695,695,695,"0,00",0,0,630,695,0
,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,FINANCE,198,198,198,198,"0,00",0,0,197,198,0
,AGRS,Bank IBK Indonesia Tbk.,FINANCE,135,135,135,135,"0,00",0,0,133,135,0
,AHAP,Asuransi Harta Aman Pratama Tbk.,FINANCE,60,60,60,60,"0,00",0,0,59,60,0
,AIMS,Akbar Indo Makmur Stimec Tbk,TRADE,180,180,180,180,"0,00",0,0,162,179,0
,AISA,Tiga Pilar Sejahtera Food Tbk.,CONSUMER,168,168,168,168,"0,00",0,0,167,168,0
,AKKU,Anugerah Kagum Karya Utama Tbk.,TRADE,50,50,50,50,"0,00",0,0,50,50,0
,AKPI,Argha Karya Prima Industry Tbk.,BASIC-IND,370,370,370,370,"0,00",0,0,368,380,0
,AKRA,AKR Corporindo Tbk.,TRADE,3.950,3.950,3.950,3.950,"0,00",0,0,3.940,3.950,0
,AKSI,Majapahit Inti Corpora Tbk.,INFRASTRUCTURE,1.145,1.145,1.145,1.145,"0,00",0,0,935,1.145,0
,ALDO,Alkindo Naratama Tbk.,BASIC-IND,428,428,428,428,"0,00",0,0,386,428,0
,ALKA,Alakasa Industrindo Tbk,BASIC-IND,418,418,418,418,"0,00",0,0,410,418,0
,ALMI,Alumindo Light Metal Industry Tbk.,BASIC-IND,358,358,358,358,"0,00",0,0,284,348,0
,ALTO,Tri Banyan Tirta Tbk.,CONSUMER,398,398,398,398,"0,00",0,0,384,398,0
,AMAG,Asuransi Multi Artha Guna Tbk.,FINANCE,296,296,296,296,"0,00",0,0,282,290,0
,AMFG,Asahimas Flat Glass Tbk.,BASIC-IND,3.430,3.430,3.430,3.430,"0,00",0,0,3.400,3.430,0
,AMIN,Ateliers Mecaniques D Indonesie Tbk.,MISC-IND,312,312,312,312,"0,00",0,0,302,312,0
,AMRT,Sumber Alfaria Trijaya Tbk.,TRADE,880,880,880,880,"0,00",0,0,835,880,0
,ANDI,Andira Agro Tbk.,AGRI,50,50,50,50,"0,00",0,0,50,50,0
,ANJT,Austindo Nusantara Jaya Tbk.,AGRI,1.000,1.000,1.000,1.000,"0,00",0,0,965,1.050,0
,ANTM,Aneka Tambang Tbk.,MINING,840,840,840,840,"0,00",0,0,835,840,0
,APEX,Apexindo Pratama Duta Tbk.,MINING,346,346,346,346,"0,00",0,0,270,338,0
,APFS,Pacific Strategic Financial Tbk.,FINANCE,0,0,0,0,"0,00",0,0,0,0,0
,APIC,Pacific Strategic Financial Tbk.,FINANCE,690,690,690,690,"0,00",0,0,685,690,0
,APII,Arita Prima Indonesia Tbk.,TRADE,184,184,184,184,"0,00",0,0,167,184,0
,APLI,Asiaplast Industries Tbk.,BASIC-IND,179,179,179,179,"0,00",0,0,178,179,0
,APLN,Agung Podomoro Land Tbk.,PROPERTY,177,177,177,177,"0,00",0,0,177,178,0
,APOL,Arpeni Pratama Ocean Line Tbk.,INFRASTRUCTURE,50,50,50,50,"0,00",0,0,55,50,0
,AQUB,Aqua Golden Mississippi Tbk.,CONSUMER,0,0,0,0,"0,00",0,0,0,0,0
