Kode,Perusahaan,Berdiri,Tanggal IPO,Saham Beredar,Harga,waktu_update
" AALI ",Astra Agro Lestari Tbk,"Oct 03, 1988","Dec 09, 1997","1,924,688,333","6,475",21 menit lalu
" ANDI ",Andira Agro Tbk,"Apr 28, 1995","Aug 16, 2018","9,350,000,000",50,1 jam lalu
" ANJT ",Austindo Nusantara Jaya Tbk,"Apr 16, 1993","May 08, 2013","3,354,175,000",515,25 menit lalu
" BEEF ",Estika Tata Tiara Tbk,"Feb 01, 2001","Jan 10, 2019","1,884,312,565",228,23 menit lalu
" BISI ",BISI International Tbk,"Jun 22, 1983","May 28, 2007","3,000,000,000",755,33 menit lalu
" BWPT ",Eagle High Plantations Tbk,"Nov 06, 2000","Oct 27, 2009","31,525,291,000",82,22 menit lalu
" CKRA ",Cakra Mineral Tbk,"Sep 19, 1990","May 19, 1999","5,106,021,090",76,1 hari lalu
" CSRA ",Cisadane Sawit Raya Tbk,"Oct 28, 1983","Jan 09, 2020","2,050,000,000",322,21 menit lalu
" DSFI ",Dharma Samudera Fishing Industries Tbk,"Oct 02, 1973","Mar 24, 2000","1,857,135,500",77,28 menit lalu
" DSNG ",Dharma Satya Nusantara Tbk,"Sep 29, 1980","Jun 14, 2013","10,599,842,400",340,24 menit lalu
" GOLL ",Golden Plantation Tbk,"Dec 05, 2007","Dec 23, 2014","3,665,000,759",50,1 hari lalu
" GZCO ",Gozco Plantations Tbk,"Aug 10, 2001","May 15, 2008","6,000,000,000",50,1 hari lalu
" JAWA ",Jaya Agra Wattie Tbk,"Jan 20, 1921","May 30, 2011","3,774,685,500",82,1 hari lalu
" LSIP ",PP London Sumatra Indonesia Tbk,"Dec 18, 1962","Jul 05, 1996","6,822,863,965",865,20 menit lalu
" MAGP ",Multi Agro Gemilang Plantation Tbk,"Apr 13, 2005","Jan 16, 2013","9,000,000,004",50,1 hari lalu
" MGRO ",Mahkota Group Tbk,"Jan 07, 2011","Jul 12, 2018","3,554,445,700",635,43 menit lalu
" PALM ",Provident Agro Tbk,"Nov 26, 2006","Oct 08, 2012","7,119,540,356",220,1 hari lalu
" SGRO ",Sampoerna Agro Tbk,"Jun 07, 1993","Jun 18, 2007","1,890,000,000","2,470",32 menit lalu
" SIMP ",Salim Ivomas Pratama Tbk,"Aug 12, 1992","Jun 09, 2011","15,816,310,000",244,21 menit lalu
" SMAR ",SMART Tbk,"Jun 18, 1962","Nov 20, 1992","2,872,193,366","2,470",1 minggu lalu
" BISI ",BISI International Tbk,"Jun 22, 1983","May 28, 2007","3,000,000,000",755,33 menit lalu
" CKRA ",Cakra Mineral Tbk,"Sep 19, 1990","May 19, 1999","5,106,021,090",76,1 hari lalu
" AALI ",Astra Agro Lestari Tbk,"Oct 03, 1988","Dec 09, 1997","1,924,688,333","6,475",21 menit lalu
" ANDI ",Andira Agro Tbk,"Apr 28, 1995","Aug 16, 2018","9,350,000,000",50,1 jam lalu
" ANJT ",Austindo Nusantara Jaya Tbk,"Apr 16, 1993","May 08, 2013","3,354,175,000",515,25 menit lalu
" BWPT ",Eagle High Plantations Tbk,"Nov 06, 2000","Oct 27, 2009","31,525,291,000",82,22 menit lalu
" CSRA ",Cisadane Sawit Raya Tbk,"Oct 28, 1983","Jan 09, 2020","2,050,000,000",322,21 menit lalu
" DSNG ",Dharma Satya Nusantara Tbk,"Sep 29, 1980","Jun 14, 2013","10,599,842,400",340,24 menit lalu
" GOLL ",Golden Plantation Tbk,"Dec 05, 2007","Dec 23, 2014","3,665,000,759",50,1 hari lalu
" GZCO ",Gozco Plantations Tbk,"Aug 10, 2001","May 15, 2008","6,000,000,000",50,1 hari lalu
" JAWA ",Jaya Agra Wattie Tbk,"Jan 20, 1921","May 30, 2011","3,774,685,500",82,1 hari lalu
