KODE NAMA PT,Terakhir,%Perubahan,Perrubahan,Penialain,Volume,Cap Pasar,P/E,EPS(TTM),Pegawai,Jenis Industri
" DMMX DIGITAL MEDIATAMA MAXIMA TBK. ",66.00,0.00%,0.00,Penjualan,17.739M,—,—,—,—,Layanan Periklanan/Pemasaran
" DYAN DYANDRA MEDIA INTERNATIONAL TBK. ",50.00,-1.96%,-1.00,Penjualan,1.217M,210.529B,3.31,15.11,522.00,Layanan Komersil Lain-Lain
" FORU FORTUNE INDONESIA TBK ",103.00,-6.36%,-7.00,Pembelian,1.900K,51.175B,27.96,3.93,141.00,Layanan Periklanan/Pemasaran
" INCF INDO KOMODITI KORPORA TBK. ",50.00,0.00%,0.00,Penjualan,1.700K,71.918B,24.70,2.02,166.00,Layanan Komersil Lain-Lain
" JTPE JASUINDO TIGA PERKASA TBK. ",825.00,-0.60%,-5.00,Penjualan Kuat,187.900K,1421.800B,11.72,70.84,2141.00,Percetakan/Form Komersial
" LCKM LCK GLOBAL KEDATON TBK. ",322.00,1.26%,4.00,Penjualan,18.500K,320.000B,97.01,3.11,10.00,Layanan Komersil Lain-Lain
" LMAS LIMAS INDONESIA MAKMUR TBK ",51.00,0.00%,0.00,Penjualan,1.654M,39.393B,11.37,4.40,57.00,Layanan Komersil Lain-Lain
" MFMI MULTIFILING MITRA INDONESIA TBK. ",408.00,-6.85%,-30.00,Pembelian,20.700K,310.608B,2.44,176.15,192.00,Layanan Komersil Lain-Lain
" OASA PROTECH MITRA PERKASA TBK. ",300.00,-6.25%,-20.00,Penjualan Kuat,100,100.408B,—,-3.76,27.00,Layanan Komersil Lain-Lain
" PRDA PRODIA WIDYAHUSADA TBK. ",3100.00,0.98%,30.00,Penjualan,855.000K,2953.120B,13.38,224.28,2908.00,Layanan Komersil Lain-Lain
" SOSS SHIELD ON SERVICE TBK. ",390.00,-1.02%,-4.00,Penjualan,68.000K,262.390B,—,—,429.00,Layanan Personil
" TALF TUNAS ALFIN TBK. ",278.00,14.88%,36.00,Pembelian,100,376.256B,10.70,25.98,841.00,Layanan Komersil Lain-Lain
" CENT CENTRATAMA TELEKOMUNIKASI INDONESIA TBK. ",54.00,-5.26%,-3.00,Penjualan,3.405M,1590.360B,97.50,0.51,220.00,Telekomunikasi Utama
" EMTK ELANG MAHKOTA TEKNOLOGI TBK. ",5000.00,4.17%,200.00,Penjualan,200,28211.400B,—,-544.98,5403.00,Telekomunikasi Khusus
" FREN SMARTFREN TELECOM TBK. ",92.00,-3.16%,-3.00,Pembelian,341.294M,12859.900B,—,-10.16,2618.00,Telekomunikasi Nirkabel
" GHON GIHON TELEKOMUNIKASI INDONESIA TBK. ",1550.00,3.33%,50.00,Pembelian Kuat,100,819.500B,12.67,117.60,39.00,Telekomunikasi Khusus
" ISAT INDOSAT TBK. ",2060.00,-5.50%,-120.00,Pembelian,13.100M,8422.590B,6.01,288.74,3708.00,Telekomunikasi Nirkabel
" JAST JASNITA TELEKOMINDO TBK. ",408.00,-6.85%,-30.00,Penjualan,20.800K,439.359B,—,—,—,Telekomunikasi Khusus
" KBLV FIRST MEDIA TBK. ",350.00,-2.78%,-10.00,Pembelian,5.000K,609.760B,—,-640.64,719.00,Telekomunikasi Khusus
" LINK LINK NET TBK. ",2350.00,2.17%,50.00,Penjualan,617.700K,7002.760B,9.47,258.59,763.00,Telekomunikasi Khusus
" TBIG TOWER BERSAMA INFRASTRUCTURE TBK. ",925.00,-2.63%,-25.00,Penjualan,53.533M,19359.800B,23.03,38.21,680.00,Telekomunikasi Nirkabel
" TELE TIPHONE MOBILE INDONESIA TBK. ",151.00,7.09%,10.00,Pembelian,127.697M,862.690B,2.60,53.93,1241.00,Telekomunikasi Utama
" TLKM TELEKOMUNIKASI INDONESIA (PERSERO) TBK. ",3220.00,-3.30%,-110.00,Penjualan,166.426M,307093.000B,15.31,204.51,24071.00,Telekomunikasi Utama
" ASII ASTRA INTERNATIONAL TBK. ",4060.00,0.74%,30.00,Penjualan,79.018M,152623.000B,7.33,536.19,148069.00,Kendaraan Bermotor
" ASPI ANDALAN SAKTI PRIMAINDO TBK. ",378.00,0.53%,2.00,Pembelian,15.368M,—,—,—,—,Pembangunan Rumah
" CAKK CAHAYAPUTRA ASA KERAMIK TBK. ",50.00,0.00%,0.00,Penjualan,42.900K,—,—,—,—,Perlengkapan Rumah
" CINT CHITOSE INTERNASIONAL TBK. ",278.00,6.92%,18.00,Pembelian Kuat,13.900K,280.000B,39.25,7.08,448.00,Perlengkapan Rumah
" CITA CITA MINERAL INVESTINDO TBK. ",1600.00,0.00%,0.00,Penjualan,26.100K,6435.580B,6.48,250.67,154.00,Perlengkapan Rumah
" EMDE MEGAPOLITAN DEVELOPMENTS TBK. ",200.00,0.00%,0.00,Penjualan,10.000K,666.650B,—,-10.29,158.00,Pembangunan Rumah
" GDYR GOODYEAR INDONESIA TBK. ",1500.00,-5.66%,-90.00,Penjualan Kuat,2.500K,651.900B,—,-9.82,913.00,Aftermarket Otomotif
" GJTL GAJAH TUNGGAL TBK. ",356.00,-0.56%,-2.00,Penjualan,3.015M,1010.480B,3.56,84.31,14368.00,Aftermarket Otomotif
" HRTA HARTADINATA ABADI TBK. ",256.00,-1.54%,-4.00,Pembelian,3.800K,1169.740B,8.51,30.09,—,Spesialiasi Konsumen Lainnya
" IMAS INDOMOBIL SUKSES INTERNASIONAL TBK. ",585.00,7.34%,40.00,Pembelian,2.427M,1155.890B,4.40,97.62,7155.00,Kendaraan Bermotor
" KICI KEDAUNG INDAH CAN TBK ",220.00,-6.78%,-16.00,Penjualan,16.700K,70.104B,—,-11.49,—,Perlengkapan Rumah
" LMPI LANGGENG MAKMUR INDUSTRI TBK. ",86.00,2.38%,2.00,Penjualan,300,84.716B,—,-41.32,888.00,Perlengkapan Rumah
" POLI POLLUX INVESTASI INTERNASIONAL TBK. ",1010.00,-1.94%,-20.00,Penjualan,1.700K,2060.790B,—,—,537.00,Pembangunan Rumah
" UNTR UNITED TRACTORS TBK. ",17600.00,-2.22%,-400.00,Pembelian,3.973M,62013.600B,5.57,3032.62,33139.00,Kendaraan Bermotor
" ADES AKASHA WIRA INTERNATIONAL TBK. ",735.00,0.00%,0.00,Penjualan,52.200K,430.625B,7.11,109.06,672.00,Minuman: Non-Alkohol
" ALTO TRI BANYAN TIRTA TBK. ",400.00,8.11%,30.00,Pembelian,1.505M,815.376B,—,-2.93,239.00,Minuman: Non-Alkohol
" BATA SEPATU BATA TBK. ",610.00,0.00%,0.00,Penjualan,5.100K,767.000B,15.70,37.58,693.00,Pakaian/Alas Kaki
" BELL TRISULA TEXTILE INDUSTRIES TBK. ",600.00,0.00%,0.00,Penjualan,17.600K,949.750B,39.46,16.60,765.00,Pakaian/Alas Kaki
" BIMA PRIMARINDO ASIA INFRASTRUCTURE TBK. ",50.00,0.00%,0.00,Penjualan,500,30.409B,4.55,10.99,1715.00,Pakaian/Alas Kaki
" BUDI BUDI STARCH & SWEETENER TBK. ",88.00,-3.30%,-3.00,Pembelian,218.500K,368.918B,6.55,12.52,1751.00,Makanan: Khusus/Permen
" CAMP CAMPINA ICE CREAM INDUSTRY TBK. ",202.00,9.19%,17.00,Pembelian,1.494M,1000.450B,14.08,11.72,768.00,Makanan: Daging/Ikan/Susu
" CEKA WILMAR CAHAYA INDONESIA TBK. ",1260.00,-6.67%,-90.00,Penjualan,132.500K,731.850B,3.94,306.89,390.00,Makanan: Khusus/Permen
" CLEO SARIGUNA PRIMATIRTA TBK. ",422.00,0.00%,0.00,Pembelian,7.468M,4488.000B,35.61,10.90,482.00,Minuman: Non-Alkohol
" COCO WAHANA INTERFOOD NUSANTARA TBK. ",850.00,0.00%,0.00,Penjualan,15.300K,476.207B,77.34,10.99,222.00,Makanan: Khusus/Permen
" DLTA DELTA DJAKARTA TBK. ",4850.00,3.19%,150.00,Penjualan,2.800K,3827.150B,12.57,397.05,352.00,Minuman: Beralkohol
" DMND DIAMOND FOOD INDONESIA TBK. ",965.00,0.00%,0.00,Pembelian,37.900K,—,—,—,—,Makanan: Daging/Ikan/Susu
" FISH FKS MULTI AGRO TBK. ",2000.00,-2.44%,-50.00,Penjualan Kuat,100,960.000B,5.80,344.90,397.00,Makanan: Daging/Ikan/Susu
" GGRM GUDANG GARAM TBK. ",48100.00,-3.46%,-1725.00,Pembelian,1.643M,77059.800B,7.78,5654.99,32491.00,Tembakau
" GOOD GARUDAFOOD PUTRA PUTRI JAYA TBK. ",1175.00,0.00%,0.00,Penjualan,75.100K,8781.700B,—,—,10076.00,Makanan: Khusus/Permen
" HMSP H.M. SAMPOERNA TBK. ",1705.00,-4.21%,-75.00,Penjualan,59.178M,164590.000B,13.01,117.97,23423.00,Tembakau
" ICBP INDOFOOD CBP SUKSES MAKMUR TBK. ",10075.00,-1.71%,-175.00,Penjualan,6.342M,118368.000B,23.61,432.07,30045.00,Makanan: Khusus/Permen
" IKAN ERA MANDIRI CEMERLANG TBK. ",236.00,8.26%,18.00,Pembelian Kuat,4.473M,—,—,—,—,Makanan: Daging/Ikan/Susu
" INDF INDOFOOD SUKSES MAKMUR TBK. ",6525.00,-2.97%,-200.00,Penjualan,14.200M,55755.700B,12.16,558.99,88704.00,Makanan: Khusus/Permen
" ITIC INDONESIAN TOBACCO TBK. ",4300.00,13.16%,500.00,Pembelian,2.261M,3273.710B,—,—,315.00,Tembakau
" JPFA JAPFA COMFEED INDONESIA TBK. ",980.00,-1.01%,-10.00,Penjualan,48.645M,10781.700B,6.41,150.63,—,Makanan: Daging/Ikan/Susu
" KEJU MULIA BOGA RAYA TBK. ",770.00,2.67%,20.00,Pembelian,5.600K,1155.000B,—,—,417.00,Makanan: Daging/Ikan/Susu
" KINO KINO INDONESIA TBK. ",2210.00,7.80%,160.00,Penjualan,4.978M,2821.430B,5.69,344.21,6459.00,Perawatan Rumah Tangga/Pribadi
" MBTO MARTINA BERTO TBK. ",72.00,0.00%,0.00,Penjualan,1.200K,71.690B,—,-62.57,576.00,Perawatan Rumah Tangga/Pribadi
" MICE MULTI INDOCITRA TBK. ",340.00,0.00%,0.00,Pembelian,2.000K,196.490B,6.07,56.04,402.00,Perawatan Rumah Tangga/Pribadi
" MLBI MULTI BINTANG INDONESIA TBK. ",11275.00,0.00%,0.00,Penjualan,69.000K,22860.900B,18.96,572.26,161.00,Minuman: Beralkohol
" MYOR MAYORA INDAH TBK. ",1875.00,-0.79%,-15.00,Pembelian,2.899M,40916.400B,23.63,76.58,—,Makanan: Khusus/Permen
" PCAR PRIMA CAKRAWALA ABADI TBK. ",222.00,-6.72%,-16.00,Penjualan,3.100K,284.667B,—,-9.17,116.00,Makanan: Daging/Ikan/Susu
